Started training, total epoch : 10
Training data size: 4906
Started epoch 1
Trained 1 batches 	Training Loss: 0.771083
Trained 3551 batches 	Training Loss: 0.189766
Trained 3601 batches 	Training Loss: 0.262835
Trained 3651 batches 	Training Loss: 0.165826
Trained 3701 batches 	Training Loss: 0.144501
Trained 3751 batches 	Training Loss: 0.261872
Trained 3801 batches 	Training Loss: 0.116232
Trained 3851 batches 	Training Loss: 0.236454
Trained 3901 batches 	Training Loss: 0.118909
Trained 3951 batches 	Training Loss: 0.151399
Trained 4001 batches 	Training Loss: 0.213679
Trained 4051 batches 	Training Loss: 0.096567
Trained 4101 batches 	Training Loss: 0.132573
Trained 4151 batches 	Training Loss: 0.213752
Trained 4201 batches 	Training Loss: 0.203107
Trained 4251 batches 	Training Loss: 0.144083
Trained 4301 batches 	Training Loss: 0.158020
Trained 4351 batches 	Training Loss: 0.192599
Trained 4401 batches 	Training Loss: 0.142960
Trained 4451 batches 	Training Loss: 0.178559
Trained 4501 batches 	Training Loss: 0.153084
Trained 4551 batches 	Training Loss: 0.242630
Trained 4601 batches 	Training Loss: 0.150765
Trained 4651 batches 	Training Loss: 0.160901
Trained 4701 batches 	Training Loss: 0.167779
Trained 4751 batches 	Training Loss: 0.207394
Trained 4801 batches 	Training Loss: 0.127992
Trained 4851 batches 	Training Loss: 0.235800
Trained 4901 batches 	Training Loss: 0.150979
Epoch: 1 	Training Loss: 0.175159
Started epoch 2
Trained 1 batches 	Training Loss: 0.137786
Trained 51 batches 	Training Loss: 0.243028
Trained 101 batches 	Training Loss: 0.128734
Trained 151 batches 	Training Loss: 0.185839
Trained 201 batches 	Training Loss: 0.123979
Trained 251 batches 	Training Loss: 0.187937
Trained 301 batches 	Training Loss: 0.122854
Trained 351 batches 	Training Loss: 0.143524
Trained 401 batches 	Training Loss: 0.212925
Trained 451 batches 	Training Loss: 0.150774
Trained 501 batches 	Training Loss: 0.153255
Trained 551 batches 	Training Loss: 0.174048
Trained 601 batches 	Training Loss: 0.166479
Trained 651 batches 	Training Loss: 0.187346
Trained 701 batches 	Training Loss: 0.185786
Trained 751 batches 	Training Loss: 0.160929
Trained 801 batches 	Training Loss: 0.142132
Trained 851 batches 	Training Loss: 0.151189
Trained 901 batches 	Training Loss: 0.143207
Trained 951 batches 	Training Loss: 0.133097
Trained 1001 batches 	Training Loss: 0.185371
Trained 1051 batches 	Training Loss: 0.222803
Trained 1101 batches 	Training Loss: 0.233968
Trained 1151 batches 	Training Loss: 0.191595
Trained 1201 batches 	Training Loss: 0.204762
Trained 1251 batches 	Training Loss: 0.134896
Trained 1301 batches 	Training Loss: 0.173559
Trained 1351 batches 	Training Loss: 0.139967
Trained 1401 batches 	Training Loss: 0.061206
Trained 1451 batches 	Training Loss: 0.200941
Trained 1501 batches 	Training Loss: 0.140918
Trained 1551 batches 	Training Loss: 0.177904
Trained 1601 batches 	Training Loss: 0.124016
Trained 1651 batches 	Training Loss: 0.175528
Trained 1701 batches 	Training Loss: 0.147789
Trained 1751 batches 	Training Loss: 0.194304
Trained 1801 batches 	Training Loss: 0.191123
Trained 1851 batches 	Training Loss: 0.168256
Trained 1901 batches 	Training Loss: 0.152995
Trained 1951 batches 	Training Loss: 0.093879
Trained 2001 batches 	Training Loss: 0.145523
Trained 2051 batches 	Training Loss: 0.171217
Trained 2101 batches 	Training Loss: 0.092580
Trained 2151 batches 	Training Loss: 0.216161
Trained 2201 batches 	Training Loss: 0.213131
Trained 2251 batches 	Training Loss: 0.145953
Trained 2301 batches 	Training Loss: 0.191063
Trained 2351 batches 	Training Loss: 0.142767
Trained 2401 batches 	Training Loss: 0.133273
Trained 2451 batches 	Training Loss: 0.158050
Trained 2501 batches 	Training Loss: 0.202340
Trained 2551 batches 	Training Loss: 0.124530
Trained 2601 batches 	Training Loss: 0.189212
Trained 2651 batches 	Training Loss: 0.178744
Trained 2701 batches 	Training Loss: 0.222682
Trained 2751 batches 	Training Loss: 0.110299
Trained 2801 batches 	Training Loss: 0.185157
Trained 2851 batches 	Training Loss: 0.147201
Trained 2901 batches 	Training Loss: 0.190319
Trained 2951 batches 	Training Loss: 0.128148
Trained 3001 batches 	Training Loss: 0.153554
Trained 3051 batches 	Training Loss: 0.191128
Trained 3101 batches 	Training Loss: 0.150081
Trained 3151 batches 	Training Loss: 0.125418
Trained 3201 batches 	Training Loss: 0.158287
Trained 3251 batches 	Training Loss: 0.216894
Trained 3301 batches 	Training Loss: 0.182124
Trained 3351 batches 	Training Loss: 0.196266
Trained 3401 batches 	Training Loss: 0.166050
Trained 3451 batches 	Training Loss: 0.199910
Trained 3501 batches 	Training Loss: 0.103693
Trained 3551 batches 	Training Loss: 0.167340
Trained 3601 batches 	Training Loss: 0.171995
Trained 3651 batches 	Training Loss: 0.275890
Trained 3701 batches 	Training Loss: 0.195883
Trained 3751 batches 	Training Loss: 0.134151
Trained 3801 batches 	Training Loss: 0.188618
Trained 3851 batches 	Training Loss: 0.142986
Trained 3901 batches 	Training Loss: 0.260105
Trained 3951 batches 	Training Loss: 0.156547
Trained 4001 batches 	Training Loss: 0.180781
Trained 4051 batches 	Training Loss: 0.127357
Trained 4101 batches 	Training Loss: 0.127523
Trained 4151 batches 	Training Loss: 0.180101
Trained 4201 batches 	Training Loss: 0.189016
Trained 4251 batches 	Training Loss: 0.240925
Trained 4301 batches 	Training Loss: 0.147086
Trained 4351 batches 	Training Loss: 0.109912
Trained 4401 batches 	Training Loss: 0.129987
Trained 4451 batches 	Training Loss: 0.168170
Trained 4501 batches 	Training Loss: 0.139105
Trained 4551 batches 	Training Loss: 0.174170
Trained 4601 batches 	Training Loss: 0.116166
Trained 4651 batches 	Training Loss: 0.093301
Trained 4701 batches 	Training Loss: 0.089364
Trained 4751 batches 	Training Loss: 0.198276
Trained 4801 batches 	Training Loss: 0.170305
Trained 4851 batches 	Training Loss: 0.229744
Trained 4901 batches 	Training Loss: 0.154699
Epoch: 2 	Training Loss: 0.164961
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.761
The AUROC of Atelectasis is 0.7557822862560091
The AUROC of Cardiomegaly is 0.8378166333820968
The AUROC of Effusion is 0.8374363872493288
The AUROC of Infiltration is 0.6854059156093673
The AUROC of Mass is 0.7466348517647717
The AUROC of Nodule is 0.676633485995233
The AUROC of Pneumonia is 0.7133507441102606
The AUROC of Pneumothorax is 0.7697569044158188
The AUROC of Consolidation is 0.7566380805907829
The AUROC of Edema is 0.8471405862721021
The AUROC of Emphysema is 0.7559903555614053
The AUROC of Fibrosis is 0.7316195378907216
The AUROC of Pleural_Thickening is 0.7089556010209499
The AUROC of Hernia is 0.8341907400079145
Started epoch 3
Trained 1 batches 	Training Loss: 0.144513
Trained 51 batches 	Training Loss: 0.258469
Trained 101 batches 	Training Loss: 0.180326
Trained 151 batches 	Training Loss: 0.247383
Trained 201 batches 	Training Loss: 0.135302
Trained 251 batches 	Training Loss: 0.169014
Trained 301 batches 	Training Loss: 0.168057
Trained 351 batches 	Training Loss: 0.228873
Trained 401 batches 	Training Loss: 0.180837
Trained 451 batches 	Training Loss: 0.151218
Trained 501 batches 	Training Loss: 0.126401
Trained 551 batches 	Training Loss: 0.254386
Trained 601 batches 	Training Loss: 0.174547
Trained 651 batches 	Training Loss: 0.107296
Trained 701 batches 	Training Loss: 0.138289
Trained 751 batches 	Training Loss: 0.206066
Trained 801 batches 	Training Loss: 0.167859
Trained 851 batches 	Training Loss: 0.179130
Trained 901 batches 	Training Loss: 0.214498
Trained 951 batches 	Training Loss: 0.171728
Trained 1001 batches 	Training Loss: 0.090011
Trained 1051 batches 	Training Loss: 0.210956
Trained 1101 batches 	Training Loss: 0.147372
Trained 1151 batches 	Training Loss: 0.222319
Trained 1201 batches 	Training Loss: 0.151734
Trained 1251 batches 	Training Loss: 0.219612
Trained 1301 batches 	Training Loss: 0.180300
Trained 1351 batches 	Training Loss: 0.167391
Trained 1401 batches 	Training Loss: 0.138733
Trained 1451 batches 	Training Loss: 0.177309
Trained 1501 batches 	Training Loss: 0.146728
Trained 1551 batches 	Training Loss: 0.203486
Trained 1601 batches 	Training Loss: 0.195908
Trained 1651 batches 	Training Loss: 0.254054
Trained 1701 batches 	Training Loss: 0.231317
Trained 1751 batches 	Training Loss: 0.167124
Trained 1801 batches 	Training Loss: 0.110404
Trained 1851 batches 	Training Loss: 0.154148
Trained 1901 batches 	Training Loss: 0.083167
Trained 1951 batches 	Training Loss: 0.146686
Trained 2001 batches 	Training Loss: 0.156380
Trained 2051 batches 	Training Loss: 0.172479
Trained 2101 batches 	Training Loss: 0.201362
Trained 2151 batches 	Training Loss: 0.145361
Trained 2201 batches 	Training Loss: 0.116318
Trained 2251 batches 	Training Loss: 0.227234
Trained 2301 batches 	Training Loss: 0.231220
Trained 2351 batches 	Training Loss: 0.140297
Trained 2401 batches 	Training Loss: 0.130966
Trained 2451 batches 	Training Loss: 0.188230
Trained 2501 batches 	Training Loss: 0.152493
Trained 2551 batches 	Training Loss: 0.127882
Trained 2601 batches 	Training Loss: 0.181729
Trained 2651 batches 	Training Loss: 0.320830
Trained 2701 batches 	Training Loss: 0.174422
Trained 2751 batches 	Training Loss: 0.140296
Trained 2801 batches 	Training Loss: 0.177401
Trained 2851 batches 	Training Loss: 0.152834
Trained 2901 batches 	Training Loss: 0.181634
Trained 2951 batches 	Training Loss: 0.201223
Trained 3001 batches 	Training Loss: 0.186708
Trained 3051 batches 	Training Loss: 0.160104
Trained 3101 batches 	Training Loss: 0.139559
Trained 3151 batches 	Training Loss: 0.154623
Trained 3201 batches 	Training Loss: 0.150511
Trained 3251 batches 	Training Loss: 0.184769
Trained 3301 batches 	Training Loss: 0.110151
Trained 3351 batches 	Training Loss: 0.198501
Trained 3401 batches 	Training Loss: 0.190179
Trained 3451 batches 	Training Loss: 0.188943
Trained 3501 batches 	Training Loss: 0.127378
Trained 3551 batches 	Training Loss: 0.143846
Trained 3601 batches 	Training Loss: 0.143433
Trained 3651 batches 	Training Loss: 0.183624
Trained 3701 batches 	Training Loss: 0.225001
Trained 3751 batches 	Training Loss: 0.133388
Trained 3801 batches 	Training Loss: 0.141403
Trained 3851 batches 	Training Loss: 0.186951
Trained 3901 batches 	Training Loss: 0.201821
Trained 3951 batches 	Training Loss: 0.233024
Trained 4001 batches 	Training Loss: 0.121539
Trained 4051 batches 	Training Loss: 0.171808
Trained 4101 batches 	Training Loss: 0.105333
Trained 4151 batches 	Training Loss: 0.214587
Trained 4201 batches 	Training Loss: 0.162344
Trained 4251 batches 	Training Loss: 0.119960
Trained 4301 batches 	Training Loss: 0.118752
Trained 4351 batches 	Training Loss: 0.115125
Trained 4401 batches 	Training Loss: 0.143237
Trained 4451 batches 	Training Loss: 0.234405
Trained 4501 batches 	Training Loss: 0.194792
Trained 4551 batches 	Training Loss: 0.146932
Trained 4601 batches 	Training Loss: 0.262722
Trained 4651 batches 	Training Loss: 0.104856
Trained 4701 batches 	Training Loss: 0.157451
Trained 4751 batches 	Training Loss: 0.222396
Trained 4801 batches 	Training Loss: 0.208529
Trained 4851 batches 	Training Loss: 0.208691
Trained 4901 batches 	Training Loss: 0.092384
Epoch: 3 	Training Loss: 0.160687
Started epoch 4
Trained 1 batches 	Training Loss: 0.140820
Trained 51 batches 	Training Loss: 0.130593
Trained 101 batches 	Training Loss: 0.155120
Trained 151 batches 	Training Loss: 0.155619
Trained 201 batches 	Training Loss: 0.154910
Trained 251 batches 	Training Loss: 0.158392
Trained 301 batches 	Training Loss: 0.203712
Trained 351 batches 	Training Loss: 0.141287
Trained 401 batches 	Training Loss: 0.218971
Trained 451 batches 	Training Loss: 0.155354
Trained 501 batches 	Training Loss: 0.181656
Trained 551 batches 	Training Loss: 0.178131
Trained 601 batches 	Training Loss: 0.095850
Trained 651 batches 	Training Loss: 0.142592
Trained 701 batches 	Training Loss: 0.195821
Trained 751 batches 	Training Loss: 0.147673
Trained 801 batches 	Training Loss: 0.132788
Trained 851 batches 	Training Loss: 0.162290
Trained 901 batches 	Training Loss: 0.253305
Trained 951 batches 	Training Loss: 0.117464
Trained 1001 batches 	Training Loss: 0.158917
Trained 1051 batches 	Training Loss: 0.135408
Trained 1101 batches 	Training Loss: 0.127876
Trained 1151 batches 	Training Loss: 0.158917
Trained 1201 batches 	Training Loss: 0.128519
Trained 1251 batches 	Training Loss: 0.185128
Trained 1301 batches 	Training Loss: 0.171251
Trained 1351 batches 	Training Loss: 0.107515
Trained 1401 batches 	Training Loss: 0.136238
Trained 1451 batches 	Training Loss: 0.169201
Trained 1501 batches 	Training Loss: 0.181916
Trained 1551 batches 	Training Loss: 0.164809
Trained 1601 batches 	Training Loss: 0.178775
Trained 1651 batches 	Training Loss: 0.125502
Trained 1701 batches 	Training Loss: 0.105927
Trained 1751 batches 	Training Loss: 0.143525
Trained 1801 batches 	Training Loss: 0.184770
Trained 1851 batches 	Training Loss: 0.101642
Trained 1901 batches 	Training Loss: 0.130926
Trained 1951 batches 	Training Loss: 0.180703
Trained 2001 batches 	Training Loss: 0.143761
Trained 2051 batches 	Training Loss: 0.199411
Trained 2101 batches 	Training Loss: 0.114520
Trained 2151 batches 	Training Loss: 0.157884
Trained 2201 batches 	Training Loss: 0.150650
Trained 2251 batches 	Training Loss: 0.127924
Trained 2301 batches 	Training Loss: 0.211607
Trained 2351 batches 	Training Loss: 0.091050
Trained 2401 batches 	Training Loss: 0.145193
Trained 2451 batches 	Training Loss: 0.061983
Trained 2501 batches 	Training Loss: 0.134139
Trained 2551 batches 	Training Loss: 0.216757
Trained 2601 batches 	Training Loss: 0.170752
Trained 2651 batches 	Training Loss: 0.089930
Trained 2701 batches 	Training Loss: 0.106764
Trained 2751 batches 	Training Loss: 0.118634
Trained 2801 batches 	Training Loss: 0.317591
Trained 2851 batches 	Training Loss: 0.233396
Trained 2901 batches 	Training Loss: 0.148359
Trained 2951 batches 	Training Loss: 0.181287
Trained 3001 batches 	Training Loss: 0.191105
Trained 3051 batches 	Training Loss: 0.092973
Trained 3101 batches 	Training Loss: 0.161620
Trained 3151 batches 	Training Loss: 0.147487
Trained 3201 batches 	Training Loss: 0.122651
Trained 3251 batches 	Training Loss: 0.099331
Trained 3301 batches 	Training Loss: 0.124645
Trained 3351 batches 	Training Loss: 0.194039
Trained 3401 batches 	Training Loss: 0.163452
Trained 3451 batches 	Training Loss: 0.162391
Trained 3501 batches 	Training Loss: 0.201349
Trained 3551 batches 	Training Loss: 0.157542
Trained 3601 batches 	Training Loss: 0.067831
Trained 3651 batches 	Training Loss: 0.104311
Trained 3701 batches 	Training Loss: 0.090721
Trained 3751 batches 	Training Loss: 0.161264
Trained 3801 batches 	Training Loss: 0.125890
Trained 3851 batches 	Training Loss: 0.176976
Trained 3901 batches 	Training Loss: 0.237083
Trained 3951 batches 	Training Loss: 0.219639
Trained 4001 batches 	Training Loss: 0.194825
Trained 4051 batches 	Training Loss: 0.154968
Trained 4101 batches 	Training Loss: 0.140971
Trained 4151 batches 	Training Loss: 0.149338
Trained 4201 batches 	Training Loss: 0.197233
Trained 4251 batches 	Training Loss: 0.177039
Trained 4301 batches 	Training Loss: 0.279181
Trained 4351 batches 	Training Loss: 0.126146
Trained 4401 batches 	Training Loss: 0.160622
Trained 4451 batches 	Training Loss: 0.151070
Trained 4501 batches 	Training Loss: 0.175712
Trained 4551 batches 	Training Loss: 0.139848
Trained 4601 batches 	Training Loss: 0.127958
Trained 4651 batches 	Training Loss: 0.150355
Trained 4701 batches 	Training Loss: 0.174975
Trained 4751 batches 	Training Loss: 0.124708
Trained 4801 batches 	Training Loss: 0.105005
Trained 4851 batches 	Training Loss: 0.160746
Trained 4901 batches 	Training Loss: 0.098258
Epoch: 4 	Training Loss: 0.157385
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.792
The AUROC of Atelectasis is 0.7757587606617851
The AUROC of Cardiomegaly is 0.8807300550561185
The AUROC of Effusion is 0.8567287776071024
The AUROC of Infiltration is 0.6913591893648838
The AUROC of Mass is 0.792443339415137
The AUROC of Nodule is 0.7075196806204485
The AUROC of Pneumonia is 0.7493155961043386
The AUROC of Pneumothorax is 0.8219447646734499
The AUROC of Consolidation is 0.7718260335931544
The AUROC of Edema is 0.8750467089055802
The AUROC of Emphysema is 0.8201620579617841
The AUROC of Fibrosis is 0.7614696586239701
The AUROC of Pleural_Thickening is 0.7371236204781527
The AUROC of Hernia is 0.8535174949257694
Started epoch 5
Trained 1 batches 	Training Loss: 0.133873
Trained 51 batches 	Training Loss: 0.146744
Trained 101 batches 	Training Loss: 0.180735
Trained 151 batches 	Training Loss: 0.238598
Trained 201 batches 	Training Loss: 0.146986
Trained 251 batches 	Training Loss: 0.138023
Trained 301 batches 	Training Loss: 0.194644
Trained 351 batches 	Training Loss: 0.131454
Trained 401 batches 	Training Loss: 0.088627
Trained 451 batches 	Training Loss: 0.123328
Trained 501 batches 	Training Loss: 0.164296
Trained 551 batches 	Training Loss: 0.137812
Trained 601 batches 	Training Loss: 0.190937
Trained 651 batches 	Training Loss: 0.151736
Trained 701 batches 	Training Loss: 0.184196
Trained 751 batches 	Training Loss: 0.184082
Trained 801 batches 	Training Loss: 0.116086
Trained 851 batches 	Training Loss: 0.066217
Trained 901 batches 	Training Loss: 0.198113
Trained 951 batches 	Training Loss: 0.135024
Trained 1001 batches 	Training Loss: 0.160564
Trained 1051 batches 	Training Loss: 0.188308
Trained 1101 batches 	Training Loss: 0.167334
Trained 1151 batches 	Training Loss: 0.073968
Trained 1201 batches 	Training Loss: 0.202876
Trained 1251 batches 	Training Loss: 0.148462
Trained 1301 batches 	Training Loss: 0.190335
Trained 1351 batches 	Training Loss: 0.215194
Trained 1401 batches 	Training Loss: 0.109673
Trained 1451 batches 	Training Loss: 0.112331
Trained 1501 batches 	Training Loss: 0.149110
Trained 1551 batches 	Training Loss: 0.196116
Trained 1601 batches 	Training Loss: 0.137585
Trained 1651 batches 	Training Loss: 0.169438
Trained 1701 batches 	Training Loss: 0.168319
Trained 1751 batches 	Training Loss: 0.138440
Trained 1801 batches 	Training Loss: 0.083140
Trained 1851 batches 	Training Loss: 0.152210
Trained 1901 batches 	Training Loss: 0.171535
Trained 1951 batches 	Training Loss: 0.145000
Trained 2001 batches 	Training Loss: 0.110677
Trained 2051 batches 	Training Loss: 0.160740
Trained 2101 batches 	Training Loss: 0.195820
Trained 2151 batches 	Training Loss: 0.177281
Trained 2201 batches 	Training Loss: 0.108119
Trained 2251 batches 	Training Loss: 0.183220
Trained 2301 batches 	Training Loss: 0.181106
Trained 2351 batches 	Training Loss: 0.171549
Trained 2401 batches 	Training Loss: 0.106133
Trained 2451 batches 	Training Loss: 0.185283
Trained 2501 batches 	Training Loss: 0.193918
Trained 2551 batches 	Training Loss: 0.215631
Trained 2601 batches 	Training Loss: 0.157451
Trained 2651 batches 	Training Loss: 0.089754
Trained 2701 batches 	Training Loss: 0.088962
Trained 2751 batches 	Training Loss: 0.127144
Trained 2801 batches 	Training Loss: 0.087933
Trained 2851 batches 	Training Loss: 0.123697
Trained 2901 batches 	Training Loss: 0.183565
Trained 2951 batches 	Training Loss: 0.160064
Trained 3001 batches 	Training Loss: 0.049610
Trained 3051 batches 	Training Loss: 0.154670
Trained 3101 batches 	Training Loss: 0.201941
Trained 3151 batches 	Training Loss: 0.101031
Trained 3201 batches 	Training Loss: 0.102829
Trained 3251 batches 	Training Loss: 0.124526
Trained 3301 batches 	Training Loss: 0.216581
Trained 3351 batches 	Training Loss: 0.112941
Trained 3401 batches 	Training Loss: 0.131991
Trained 3451 batches 	Training Loss: 0.119221
Trained 3501 batches 	Training Loss: 0.071485
Trained 3551 batches 	Training Loss: 0.173067
Trained 3601 batches 	Training Loss: 0.185257
Trained 3651 batches 	Training Loss: 0.158691
Trained 3701 batches 	Training Loss: 0.138947
Trained 3751 batches 	Training Loss: 0.101126
Trained 3801 batches 	Training Loss: 0.196363
Trained 3851 batches 	Training Loss: 0.236365
Trained 3901 batches 	Training Loss: 0.093782
Trained 3951 batches 	Training Loss: 0.098508
Trained 4001 batches 	Training Loss: 0.171135
Trained 4051 batches 	Training Loss: 0.159899
Trained 4101 batches 	Training Loss: 0.133654
Trained 4151 batches 	Training Loss: 0.258883
Trained 4201 batches 	Training Loss: 0.099966
Trained 4251 batches 	Training Loss: 0.150726
Trained 4301 batches 	Training Loss: 0.162886
Trained 4351 batches 	Training Loss: 0.154586
Trained 4401 batches 	Training Loss: 0.159632
Trained 4451 batches 	Training Loss: 0.158793
Trained 4501 batches 	Training Loss: 0.092441
Trained 4551 batches 	Training Loss: 0.145457
Trained 4601 batches 	Training Loss: 0.108937
Trained 4651 batches 	Training Loss: 0.191646
Trained 4701 batches 	Training Loss: 0.137745
Trained 4751 batches 	Training Loss: 0.126488
Trained 4801 batches 	Training Loss: 0.140897
Trained 4851 batches 	Training Loss: 0.172224
Trained 4901 batches 	Training Loss: 0.166613
Epoch: 5 	Training Loss: 0.154765
Started epoch 6
Trained 1 batches 	Training Loss: 0.206488
Trained 51 batches 	Training Loss: 0.152492
Trained 101 batches 	Training Loss: 0.145921
Trained 151 batches 	Training Loss: 0.130305
Trained 201 batches 	Training Loss: 0.136653
Trained 251 batches 	Training Loss: 0.156039
Trained 301 batches 	Training Loss: 0.164176
Trained 351 batches 	Training Loss: 0.104724
Trained 401 batches 	Training Loss: 0.234076
Trained 451 batches 	Training Loss: 0.168004
Trained 501 batches 	Training Loss: 0.165200
Trained 551 batches 	Training Loss: 0.191802
Trained 601 batches 	Training Loss: 0.109752
Trained 651 batches 	Training Loss: 0.268980
Trained 701 batches 	Training Loss: 0.086719
Trained 751 batches 	Training Loss: 0.133681
Trained 801 batches 	Training Loss: 0.129555
Trained 851 batches 	Training Loss: 0.108377
Trained 901 batches 	Training Loss: 0.128068
Trained 951 batches 	Training Loss: 0.250908
Trained 1001 batches 	Training Loss: 0.154192
Trained 1051 batches 	Training Loss: 0.129618
Trained 1101 batches 	Training Loss: 0.181830
Trained 1151 batches 	Training Loss: 0.114970
Trained 1201 batches 	Training Loss: 0.179018
Trained 1251 batches 	Training Loss: 0.196223
Trained 1301 batches 	Training Loss: 0.177388
Trained 1351 batches 	Training Loss: 0.147278
Trained 1401 batches 	Training Loss: 0.097633
Trained 1451 batches 	Training Loss: 0.095390
Trained 1501 batches 	Training Loss: 0.133619
Trained 1551 batches 	Training Loss: 0.143468
Trained 1601 batches 	Training Loss: 0.102634
Trained 1651 batches 	Training Loss: 0.168951
Trained 1701 batches 	Training Loss: 0.268305
Trained 1751 batches 	Training Loss: 0.128497
Trained 1801 batches 	Training Loss: 0.130049
Trained 1851 batches 	Training Loss: 0.117334
Trained 1901 batches 	Training Loss: 0.122652
Trained 1951 batches 	Training Loss: 0.093185
Trained 2001 batches 	Training Loss: 0.154468
Trained 2051 batches 	Training Loss: 0.153270
Trained 2101 batches 	Training Loss: 0.150557
Trained 2151 batches 	Training Loss: 0.125474
Trained 2201 batches 	Training Loss: 0.202093
Trained 2251 batches 	Training Loss: 0.079683
Trained 2301 batches 	Training Loss: 0.199214
Trained 2351 batches 	Training Loss: 0.138016
Trained 2401 batches 	Training Loss: 0.101627
Trained 2451 batches 	Training Loss: 0.185513
Trained 2501 batches 	Training Loss: 0.158880
Trained 2551 batches 	Training Loss: 0.105247
Trained 2601 batches 	Training Loss: 0.112727
Trained 2651 batches 	Training Loss: 0.136042
Trained 2701 batches 	Training Loss: 0.175308
Trained 2751 batches 	Training Loss: 0.136719
Trained 2801 batches 	Training Loss: 0.210033
Trained 2851 batches 	Training Loss: 0.105408
Trained 2901 batches 	Training Loss: 0.122663
Trained 2951 batches 	Training Loss: 0.154722
Trained 3001 batches 	Training Loss: 0.194423
Trained 3051 batches 	Training Loss: 0.121184
Trained 3101 batches 	Training Loss: 0.159484
Trained 3151 batches 	Training Loss: 0.141836
Trained 3201 batches 	Training Loss: 0.125487
Trained 3251 batches 	Training Loss: 0.208763
Trained 3301 batches 	Training Loss: 0.085990
Trained 3351 batches 	Training Loss: 0.162281
Trained 3401 batches 	Training Loss: 0.158741
Trained 3451 batches 	Training Loss: 0.144145
Trained 3501 batches 	Training Loss: 0.121701
Trained 3551 batches 	Training Loss: 0.147110
Trained 3601 batches 	Training Loss: 0.110387
Trained 3651 batches 	Training Loss: 0.187452
Trained 3701 batches 	Training Loss: 0.234769
Trained 3751 batches 	Training Loss: 0.139835
